N-Gram,2020,2021,2022,2023,2024,2025,Total
purchasing power parity exchange rates,0,0,0,0,0,2,2
performances terms,0,0,0,2,0,0,2
pure strategies,0,0,0,2,0,0,2
purpose paper,0,2,0,0,0,0,2
puzzles mathematical,0,0,0,0,0,2,2
puzzles mathematical thinking,0,0,0,0,0,2,2
public safety power,0,0,0,0,2,0,2
public opinion,2,0,0,0,0,0,2
proposed model,0,0,0,2,0,0,2
public asset,0,0,0,2,0,0,2
platform work,0,0,0,0,0,2,2
new infrastructure investment level digital,0,0,0,0,2,0,2
providing power,2,0,0,0,0,0,2
provincial allocation,0,0,0,0,2,0,2
provincial carbon,0,0,0,0,2,0,2
psps events,0,0,0,0,2,0,2
new infrastructure investment level,0,0,0,0,2,0,2
new framework,0,2,0,0,0,0,2
quantile index,0,0,0,0,0,2,2
quantile factor analysis,0,0,2,0,0,0,2
public concerns,2,0,0,0,0,0,2
platform strategy,0,0,0,0,2,0,2
platform development,0,0,0,0,2,0,2
public nonprofit,0,0,0,0,0,2,2
performed using,0,0,0,2,0,0,2
photovoltaic systems,0,2,0,0,0,0,2
performing construction,0,0,2,0,0,0,2
network formation model,2,0,0,0,0,0,2
quadratic costs market,0,2,0,0,0,0,2
quadratic costs market supposed,0,2,0,0,0,0,2
physical human capital,0,0,0,2,0,0,2
piece worth,0,0,0,2,0,0,2
period year,2,0,0,0,0,0,2
quadratic costs market supposed isoelastic,0,2,0,0,0,0,2
nested stochastic choice,0,2,0,0,0,0,2
qspin potts,0,2,0,0,0,0,2
net carbon,0,0,2,0,0,0,2
platform bms,0,0,0,0,2,0,2
network contagion dynamics,0,0,0,0,0,2,2
piu mechanism,0,0,2,0,0,0,2
network companies,0,2,0,0,0,0,2
qualified majority,0,0,0,2,0,0,2
quadratic costs discussion draft explore,0,2,0,0,0,0,2
period mental distress,0,2,0,0,0,0,2
network interference,2,0,0,0,0,0,2
physical human,0,0,0,2,0,0,2
network interference noncompliance,2,0,0,0,0,0,2
quadratic costs discussion draft,0,2,0,0,0,0,2
quadratic costs discussion,0,2,0,0,0,0,2
networks random,0,2,0,0,0,0,2
networks random forests,0,2,0,0,0,0,2
neural networks random,0,2,0,0,0,0,2
neural networks random forests,0,2,0,0,0,0,2
period mental,0,2,0,0,0,0,2
period covid,0,2,0,0,0,0,2
platform business,0,0,0,0,2,0,2
platform business models,0,0,0,0,2,0,2
new data,2,0,0,0,0,0,2
qspin potts model,0,2,0,0,0,0,2
performance measures,0,0,2,0,0,0,2
provides unifying,0,0,0,0,0,2,2
new insights,0,0,0,0,0,2,2
nonlinear sieve,0,0,2,0,0,0,2
percentage points,0,0,2,0,0,0,2
phillips curve,0,0,0,2,0,0,2
nonlinear unbiased,0,0,2,0,0,0,2
proposed tests,0,0,0,0,0,2,2
proposes new,0,0,0,0,0,2,2
personal finance,0,0,0,0,2,0,2
nonlinear models,0,2,0,0,0,0,2
provide consistent,0,0,0,0,0,2,2
perform poorly,0,0,2,0,0,0,2
nested nonparametric,0,2,0,0,0,0,2
nonlinear dimension reduction techniques,2,0,0,0,0,0,2
nonlinear dimension reduction,2,0,0,0,0,0,2
provide conditions,2,0,0,0,0,0,2
nested nonparametric instrumental,0,2,0,0,0,0,2
nonlottery tiebreakers,2,0,0,0,0,0,2
nonparametric estimation,0,0,0,0,0,2,2
phase diagrams,0,0,0,0,2,0,2
nonparametric instrumental variable,0,2,0,0,0,0,2
nonparametric instrumental variable regression,0,2,0,0,0,0,2
question result gives new,0,0,2,0,0,0,2
nonsharp identification,2,0,0,0,0,0,2
proposed policy vote share exceeds,0,0,0,0,2,0,2
nonsharp identification conditions,2,0,0,0,0,0,2
nonstationary volatility,2,0,0,0,0,0,2
nonubiquitous amenities,0,0,2,0,0,0,2
nonvolunteer receives,2,0,0,0,0,0,2
proposed policy vote share,0,0,0,0,2,0,2
nonvolunteer receives negative,2,0,0,0,0,0,2
proposed policy vote,0,0,0,0,2,0,2
nonvolunteer receives negative social,2,0,0,0,0,0,2
nonvolunteer receives negative social recognition,2,0,0,0,0,0,2
nonlinear dimension,2,0,0,0,0,0,2
nested nonparametric instrumental variable,0,2,0,0,0,0,2
provides empirical,0,0,0,2,0,0,2
provide necessary sufficient conditions,0,0,2,0,0,0,2
quantity called,2,0,0,0,0,0,2
persistent time,0,0,0,0,2,0,2
neyman orthogonal estimating equations,0,0,0,0,2,0,2
neyman orthogonal estimating,0,0,0,0,2,0,2
performance drivers number overtime,0,2,0,0,0,0,2
new york,2,0,0,0,0,0,2
new ways,0,2,0,0,0,0,2
provide necessary,0,0,2,0,0,0,2
nested stochastic,0,2,0,0,0,0,2
provide novel,0,2,0,0,0,0,2
new tight,0,0,2,0,0,0,2
provide numerical,0,0,2,0,0,0,2
performance drivers number overtime hours,0,2,0,0,0,0,2
new methods,0,0,0,0,0,2,2
neyman orthogonal estimating equations conditional,0,0,0,0,2,0,2
play important role,0,0,0,0,0,2,2
performance drivers number,0,2,0,0,0,0,2
question paper,0,2,0,0,0,0,2
performance countries,0,0,2,0,0,0,2
provide necessary sufficient,0,0,2,0,0,0,2
noise variables,0,0,0,2,0,0,2
noisy information,0,2,0,0,0,0,2
noisy measurements,0,0,0,2,0,0,2
nonequivalent exchange,0,0,2,0,0,0,2
question result,0,0,2,0,0,0,2
nongaussian dimension,0,0,2,0,0,0,2
nested nonparametric instrumental variable regression,0,2,0,0,0,0,2
nongaussian dimension structural,0,0,2,0,0,0,2
question result gives,0,0,2,0,0,0,2
oligopoly games increasing players,0,2,0,0,0,0,2
performance across,0,0,0,0,2,0,2
oligopoly games increasing,0,2,0,0,0,0,2
online detection,0,0,0,2,0,0,2
oligopoly games increasing players quadratic,0,2,0,0,0,0,2
parameters weakly,2,0,0,0,0,0,2
parameters weakly identified,2,0,0,0,0,0,2
positive social,2,0,0,0,0,0,2
predicting residential property value,2,0,0,0,0,0,2
organizational agility,0,2,0,0,0,0,2
positive significant impact environmental performance,0,0,2,0,0,0,2
positive significant impact environmental,0,0,2,0,0,0,2
ordinary least,0,0,2,0,0,0,2
parity exchange,0,0,0,0,0,2,2
ordinally efficient,2,0,0,0,0,0,2
positive significant impact,0,0,2,0,0,0,2
predicting residential property value catonsville,2,0,0,0,0,0,2
predicting success,0,2,0,0,0,0,2
prediction accuracy,0,0,0,0,2,0,2
ordinal preferences,0,0,0,0,2,0,2
positive offers ultimatum game,0,0,0,0,0,2,2
orientation variable,0,0,2,0,0,0,2
originalityvalue study,0,0,0,2,0,0,2
prediction model selection,0,2,0,0,0,0,2
orthogonal deviations,0,0,2,0,0,0,2
outcome variables,0,0,0,0,0,2,2
outcome variable,0,0,0,0,2,0,2
outcome measured,0,0,0,0,2,0,2
precision milp,0,0,0,0,2,0,2
predatorprey model,0,0,0,2,0,0,2
positive social recognition,2,0,0,0,0,0,2
others suggests,0,0,2,0,0,0,2
predict economic,0,2,0,0,0,0,2
orthogonal estimating equations conditional objects,0,0,0,0,2,0,2
predict outcomes,2,0,0,0,0,0,2
predicting residential,2,0,0,0,0,0,2
orthogonal estimating equations conditional,0,0,0,0,2,0,2
orthogonal estimating equations,0,0,0,0,2,0,2
orthogonal estimating,0,0,0,0,2,0,2
predicting residential property,2,0,0,0,0,0,2
ordered topological space,0,0,2,0,0,0,2
ordered topological,0,0,2,0,0,0,2
parameters misspecified,0,2,0,0,0,0,2
preferential voting,0,0,0,2,0,0,2
preferential voting method satisfying,0,0,0,2,0,0,2
preliminary test,0,0,0,0,0,2,2
preliminary testing,0,0,0,0,0,2,2
optimal treatment assignment,0,0,0,0,0,2,2
present new,0,0,2,0,0,0,2
present study,0,0,0,2,0,0,2
optimal treatment,0,0,0,0,0,2,2
present two,0,0,0,2,0,0,2
present work,0,2,0,0,0,0,2
parity exchange rates,0,0,0,0,0,2,2
optimal transportation approach,0,0,0,0,2,0,2
optimal transportation,0,0,0,0,2,0,2
partial marginal,0,0,2,0,0,0,2
optimal transport,0,0,0,0,2,0,2
partial marginal effects,0,0,2,0,0,0,2
preferential voting method,0,0,0,2,0,0,2
optimal unrestricted signals may,0,0,0,0,2,0,2
order type,0,2,0,0,0,0,2
optimal unrestricted signals may require,0,0,0,0,2,0,2
predictive models,0,0,2,0,0,0,2
order isomorphism,0,0,2,0,0,0,2
predictive performance,0,0,0,0,2,0,2
predictive power,2,0,0,0,0,0,2
preestimation spot,0,2,0,0,0,0,2
preestimation spot volatility,0,2,0,0,0,0,2
oracle performance,0,0,0,0,0,2,2
preference programming,2,0,0,0,0,0,2
oracle limitations,0,0,0,0,2,0,2
optimized provincial carbon,0,0,0,0,2,0,2
optimized provincial,0,0,0,0,2,0,2
preferences based,2,0,0,0,0,0,2
positive offers ultimatum,0,0,0,0,0,2,2
preferences show,0,0,0,0,2,0,2
preferences stateindependent,0,2,0,0,0,0,2
outcomes states,2,0,0,0,0,0,2
parameters interest,0,0,0,0,0,2,2
production transport,0,2,0,0,0,0,2
potential drivers,2,0,0,0,0,0,2
potential drivers illegal,2,0,0,0,0,0,2
paper review,0,0,0,0,2,0,2
panel vector autoregressions,0,0,0,0,0,2,2
postcrisis recovery growth,0,2,0,0,0,0,2
paper use,0,2,0,0,0,0,2
panel vector,0,0,0,0,0,2,2
potential systemic,0,0,0,2,0,0,2
potential systemic risks,0,0,0,2,0,0,2
potscher preinerstorfer,0,0,0,0,2,0,2
potts model,0,2,0,0,0,0,2
poverty alleviation,0,0,0,0,2,0,2
postcrisis recovery,0,2,0,0,0,0,2
parallel trend assumption,0,0,0,0,0,2,2
power fleet,2,0,0,0,0,0,2
power functions,2,0,0,0,0,0,2
paper quantifies,2,0,0,0,0,0,2
paper also,2,0,0,0,0,0,2
power parity,0,0,0,0,0,2,2
postspectral estimators grouped panel data,0,0,2,0,0,0,2
posterior distributions,0,0,0,0,2,0,2
posting costs,0,0,2,0,0,0,2
paper introduce,0,2,0,0,0,0,2
paper extend,0,0,2,0,0,0,2
paper proposes new,0,0,0,0,0,2,2
paper prove,0,0,2,0,0,0,2
paper evaluates,0,0,2,0,0,0,2
paper describe,2,0,0,0,0,0,2
postspectral estimators,0,0,2,0,0,0,2
paper contributes,0,0,0,2,0,0,2
paper considers,0,0,2,0,0,0,2
paper attempt,2,0,0,0,0,0,2
posted price,0,0,0,0,0,2,2
postspectral estimators grouped,0,0,2,0,0,0,2
postspectral estimators grouped panel,0,0,2,0,0,0,2
power generation,0,0,2,0,0,0,2
power parity exchange,0,0,0,0,0,2,2
precision dependence,0,0,2,0,0,0,2
practical required,0,0,0,2,0,0,2
practical required data collected,0,0,0,2,0,0,2
practically relevant,0,0,2,0,0,0,2
practices less,0,0,2,0,0,0,2
parallel trends assumption,0,0,0,0,0,2,2
overlapping generations,2,0,0,0,0,0,2
practices less likely,0,0,2,0,0,0,2
practices study,0,0,0,0,0,2,2
overidentified models,0,0,0,0,0,2,2
parameter instability,0,0,0,2,0,0,2
outer sets,2,0,0,0,0,0,2
parameters associated,0,2,0,0,0,0,2
parameters defined,0,0,2,0,0,0,2
outer set,2,0,0,0,0,0,2
outer london,2,0,0,0,0,0,2
precipitation temperature,2,0,0,0,0,0,2
practical required data,0,0,0,2,0,0,2
practical implications,0,0,0,2,0,0,2
power parity exchange rates,0,0,0,0,0,2,2
overlapping generations model,2,0,0,0,0,0,2
panel spatial autoregressive models,0,0,0,0,0,2,2
panel spatial autoregressive,0,0,0,0,0,2,2
power protect,0,2,0,0,0,0,2
panel spatial,0,0,0,0,0,2,2
panel models,0,0,2,0,0,0,2
power sector,0,0,2,0,0,0,2
power shutoffs,0,0,0,0,2,0,2
power shutoffs psps,0,0,0,0,2,0,2
power systems,0,0,0,2,0,0,2
possible future research,0,2,0,0,0,0,2
possible future,0,2,0,0,0,0,2
powerful test,2,0,0,0,0,0,2
powerful test mediation,2,0,0,0,0,0,2
practical capacity,0,0,0,0,2,0,2
positively responds,0,0,2,0,0,0,2
prevalence performance,0,0,0,0,2,0,2
prevalence performance incentives,0,0,0,0,2,0,2
prevalence toilet,0,0,0,2,0,0,2
open online crowdprediction,0,0,0,2,0,0,2
patients reported,0,0,0,2,0,0,2
probability weighting function,0,0,0,0,2,0,2
problem deciding,0,0,0,2,0,0,2
problem deciding existence,0,0,0,2,0,0,2
open online,0,0,0,2,0,0,2
pattern formation,2,0,0,0,0,0,2
problem deciding existence connected,0,0,0,2,0,0,2
open dense subset,0,0,0,0,0,2,2
open dense,0,0,0,0,0,2,2
open closed loop nash equilibria,0,0,0,0,0,2,2
poor health,0,0,0,2,0,0,2
open closed loop nash,0,0,0,0,0,2,2
open closed loop,0,0,0,0,0,2,2
problems partial,0,0,0,2,0,0,2
problems partial identification,0,0,0,2,0,0,2
probability participation,0,2,0,0,0,0,2
probability misidentification matches lower bound,0,0,0,2,0,0,2
procedures based,0,0,2,0,0,0,2
probability misidentification matches lower,0,0,0,2,0,0,2
opportunity cost,2,0,0,0,0,0,2
opinion dynamics,2,0,0,0,0,0,2
probabilistic serial random,2,0,0,0,0,0,2
probabilistic serial random priority,2,0,0,0,0,0,2
operational efficiency,0,0,0,0,2,0,2
probabilistic serial random priority mechanisms,2,0,0,0,0,0,2
probabilistic vectorspace,0,0,0,0,2,0,2
operational constraints,0,2,0,0,0,0,2
probabilistic vectorspace models,0,0,0,0,2,0,2
probability misidentification,0,0,0,2,0,0,2
path independent,0,0,2,0,0,0,2
open price simplex,0,0,0,0,0,2,2
open price,0,0,0,0,0,2,2
open online crowdprediction platforms,0,0,0,2,0,0,2
probability misidentification matches,0,0,0,2,0,0,2
problems typedependent,0,0,0,0,0,2,2
open closed,0,0,0,0,0,2,2
partial order,0,0,2,0,0,0,2
one important activities companies,0,0,0,2,0,0,2
product innovation,0,0,0,0,2,0,2
product purportedly,2,0,0,0,0,0,2
one first,0,0,0,0,0,2,2
patterns digital deception,0,0,0,0,2,0,2
patterns panel,0,0,0,0,0,2,2
one effective,0,2,0,0,0,0,2
policy vote share exceeds,0,0,0,0,2,0,2
one believes,0,0,0,2,0,0,2
patterns panel data,0,0,0,0,0,2,2
one applicant affect,0,0,2,0,0,0,2
one applicant,0,0,2,0,0,0,2
ols estimates,2,0,0,0,0,0,2
oligopoly models,0,0,0,0,0,2,2
production model,0,0,2,0,0,0,2
policy vote share,0,0,0,0,2,0,2
one important activities,0,0,0,2,0,0,2
one two,0,0,2,0,0,0,2
online survey,0,0,2,0,0,0,2
patterns digital,0,0,0,0,2,0,2
online spending,2,0,0,0,0,0,2
online shopping,0,0,2,0,0,0,2
processes also,0,2,0,0,0,0,2
processes model,0,0,0,0,0,2,2
pool workers,2,0,0,0,0,0,2
online fraud,0,0,0,0,2,0,2
posterior beliefs,0,0,0,0,0,2,2
processing techniques,0,0,0,0,2,0,2
online decision,0,2,0,0,0,0,2
online cultural rating,0,0,0,2,0,0,2
polkadot blockchain,0,0,0,2,0,0,2
producer surplus,0,0,2,0,0,0,2
producer surplus carbon,0,0,2,0,0,0,2
online cultural,0,0,0,2,0,0,2
political power protect,0,2,0,0,0,0,2
optimal carbon,0,0,2,0,0,0,2
probabilistic serial,2,0,0,0,0,0,2
optimal carbon tax,0,0,2,0,0,0,2
partnership act,0,0,0,0,0,2,2
party city,0,0,0,0,2,0,2
passing exam,2,0,0,0,0,0,2
price prediction model,0,2,0,0,0,0,2
patent application,0,0,2,0,0,0,2
price prediction model selection,0,2,0,0,0,0,2
price sensitivity,0,0,0,2,0,0,2
price simplex,0,0,0,0,0,2,2
price uplift,0,0,2,0,0,0,2
prices house,0,0,0,2,0,0,2
prices house price,0,0,0,2,0,0,2
prices house price indices,0,0,0,2,0,0,2
portfolio selection,0,0,0,2,0,0,2
paternalistic assignments,0,2,0,0,0,0,2
pork industry,2,0,0,0,0,0,2
pricing promotions,0,0,0,2,0,0,2
party cities,0,0,0,0,2,0,2
partly linear,0,0,2,0,0,0,2
optimal choice,0,0,0,2,0,0,2
optimal regional carbon tax,0,0,0,2,0,0,2
optimal strategies decumulation retirement savings,0,0,0,2,0,0,2
prevalence toilet usage,0,0,0,2,0,0,2
optimal strategies decumulation retirement,0,0,0,2,0,0,2
partial stationarity,0,0,0,2,0,0,2
optimal strategies decumulation,0,0,0,2,0,0,2
optimal strategies,0,0,0,2,0,0,2
previous research,0,2,0,0,0,0,2
optimal stopping policy,2,0,0,0,0,0,2
price elasticity,0,0,0,0,2,0,2
partially linear,0,0,2,0,0,0,2
participation constraints,0,0,0,0,0,2,2
price formation rationale,2,0,0,0,0,0,2
price indices,0,0,0,2,0,0,2
price levels,0,0,0,0,0,2,2
participation decisions,0,2,0,0,0,0,2
pricing promotions product,0,0,0,2,0,0,2
pricing significant,0,0,0,2,0,0,2
pricing significant positive,0,0,0,2,0,0,2
optimal regional,0,0,0,2,0,0,2
principals awareness,0,0,0,0,0,2,2
path ahead,0,2,0,0,0,0,2
priority mechanisms,2,0,0,0,0,0,2
prioritybased matching,0,0,2,0,0,0,2
popular mathematical puzzles mathematical thinking,0,0,0,0,0,2,2
private infrastructure,0,0,0,0,0,2,2
optimal information structure,0,0,0,2,0,0,2
optimal information,0,0,0,2,0,0,2
private private signals,0,2,0,0,0,0,2
private protocol,0,2,0,0,0,0,2
popular mathematical puzzles mathematical,0,0,0,0,0,2,2
private signal,0,2,0,0,0,0,2
optimal contract manipulationproof,0,2,0,0,0,0,2
privately informed,0,0,0,0,0,2,2
probabilistic information,0,0,2,0,0,0,2
principal initially aware,0,0,0,0,0,2,2
paternalistic assignments autonomous choice,0,2,0,0,0,0,2
paternalistic assignments autonomous,0,2,0,0,0,0,2
populations example,0,2,0,0,0,0,2
pricing significant positive effect,0,0,0,2,0,0,2
optimal rates,2,0,0,0,0,0,2
primarily leverage,0,0,2,0,0,0,2
principal ante,0,0,0,0,0,2,2
principal ante unaware,0,0,0,0,0,2,2
optimal policy,2,0,0,0,0,0,2
optimal monotone signals,0,0,0,0,2,0,2
population fertility,0,2,0,0,0,0,2
population welfare,0,0,0,0,0,2,2
principal component copulas,0,0,0,2,0,0,2
population growth,0,2,0,0,0,0,2
principal initially,0,0,0,0,0,2,2
optimal monotone,0,0,0,0,2,0,2
population fertility intention,0,2,0,0,0,0,2
optimal regional carbon,0,0,0,2,0,0,2
sample individuals,0,0,0,2,0,0,2
random priority,2,0,0,0,0,0,2
treated att,2,0,0,0,0,0,2
traditional econometric,0,0,0,2,0,0,2
traditional econometric models,0,0,0,2,0,0,2
traditional marketing,0,0,2,0,0,0,2
traditional marketing communication,0,0,2,0,0,0,2
traditional statistical,0,0,0,0,0,2,2
traditionally used,0,0,0,2,0,0,2
traffic dynamics,0,2,0,0,0,0,2
traffic flow,0,2,0,0,0,0,2
traffic flow management,0,2,0,0,0,0,2
training partnership,0,0,0,0,0,2,2
training partnership act,0,0,0,0,0,2,2
transaction costs,0,0,2,0,0,0,2
transaction fee,0,0,0,0,2,0,2
transaction fee mechanisms,0,0,0,0,2,0,2
transfer group,0,0,0,0,0,2,2
transfer processes,0,2,0,0,0,0,2
transfer processes also,0,2,0,0,0,0,2
transformation economy,0,0,2,0,0,0,2
transformation economy society,0,0,2,0,0,0,2
transformation level,0,0,0,0,2,0,2
transit design,0,2,0,0,0,0,2
transit systems,0,2,0,0,0,0,2
transition autoregressive,0,0,2,0,0,0,2
transition autoregressive model,0,0,2,0,0,0,2
transition policies,0,0,2,0,0,0,2
transparent models llms,0,0,0,0,0,2,2
transportation approach,0,0,0,0,2,0,2
transportation network companies,0,2,0,0,0,0,2
travel time,0,2,0,0,0,0,2
traditional differenceindifferences,0,0,0,0,0,2,2
traditional control,0,0,0,2,0,0,2
trade volumes,0,0,0,0,2,0,2
time slot size,0,0,2,0,0,0,2
theory causal inference,0,0,0,0,0,2,2
therefore important,0,0,0,2,0,0,2
thermal heating,0,0,0,0,2,0,2
third time,0,0,0,2,0,0,2
three types,0,0,0,0,0,2,2
tick variance,0,0,2,0,0,0,2
time lag,2,0,0,0,0,0,2
time lags,2,0,0,0,0,0,2
time period,0,0,2,0,0,0,2
time periods,0,0,2,0,0,0,2
time representation,2,0,0,0,0,0,2
time sampling,0,0,2,0,0,0,2
time series forecasting,2,0,0,0,0,0,2
timevarying parameter,0,0,0,2,0,0,2
tradable credit,0,2,0,0,0,0,2
token holdings,2,0,0,0,0,0,2
top income share held,0,2,0,0,0,0,2
top income share held bottom,0,2,0,0,0,0,2
topological data,2,0,0,0,0,0,2
topological data analysis,2,0,0,0,0,0,2
total bids,0,0,0,0,0,2,2
total exchange,0,0,2,0,0,0,2
total factor,0,0,0,2,0,0,2
total factor productivity,0,0,0,2,0,0,2
total population,0,0,0,2,0,0,2
total travel,0,2,0,0,0,0,2
total travel time,0,2,0,0,0,0,2
toxic liquidation spirals,0,0,2,0,0,0,2
travel times,0,2,0,0,0,0,2
treated untreated,0,2,0,0,0,0,2
random priority mechanisms,2,0,0,0,0,0,2
treatment arms,0,0,0,0,2,0,2
two approaches,0,0,0,0,0,2,2
two common,0,2,0,0,0,0,2
two competing,0,2,0,0,0,0,2
two core,0,0,0,0,0,2,2
two different,0,0,2,0,0,0,2
two heterogeneous,0,2,0,0,0,0,2
two heterogeneous triopoly,0,2,0,0,0,0,2
two heterogeneous triopoly games,0,2,0,0,0,0,2
two indices,2,0,0,0,0,0,2
two key findings,0,0,0,0,0,2,2
two popular,0,0,0,0,2,0,2
two sets,2,0,0,0,0,0,2
two types,0,0,0,0,0,2,2
twoarmed gaussian,0,0,0,2,0,0,2
twoarmed gaussian bandits,0,0,0,2,0,0,2
twopart estimation,0,2,0,0,0,0,2
twosided markets,0,0,0,2,0,0,2
twoway ccc assumption,0,0,0,0,2,0,2
twoway fixed,0,0,2,0,0,0,2
twoway fixed effects,0,0,2,0,0,0,2
type structure,0,0,2,0,0,0,2
type vehicle,0,2,0,0,0,0,2
typedependent participation,0,0,0,0,0,2,2
typedependent participation constraints,0,0,0,0,0,2,2
types agent,0,0,0,0,0,2,2
types principal initially,0,0,0,0,0,2,2
types principal initially aware,0,0,0,0,0,2,2
unaware bidders,0,0,0,0,2,0,2
unawareness rent,0,0,0,0,2,0,2
ttc mechanism,0,0,2,0,0,0,2
ttc complex,0,0,2,0,0,0,2
trust decisions,0,0,2,0,0,0,2
treatment path,0,0,2,0,0,0,2
treatment assignment rules,0,0,2,0,0,0,2
treatment choice problems,0,0,0,2,0,0,2
treatment choice problems partial,0,0,0,2,0,0,2
treatment choice problems partial identification,0,0,0,2,0,0,2
treatment effect ate,0,2,0,0,0,0,2
treatment effect cate,0,0,0,0,0,2,2
treatment effect estimates,2,0,0,0,0,0,2
treatment effect estimation,2,0,0,0,0,0,2
treatment effects average,0,0,0,0,0,2,2
treatment effects average causal,0,0,0,0,0,2,2
treatment effects average causal responses,0,0,0,0,0,2,2
treatment effects treated,0,0,0,0,0,2,2
treatment group,0,2,0,0,0,0,2
treatment regimes,0,0,0,0,0,2,2
trunk service,0,2,0,0,0,0,2
treatment treatment,0,2,0,0,0,0,2
treatment variables,0,0,2,0,0,0,2
trend assumption,0,0,0,0,0,2,2
trend continuation,0,0,0,0,2,0,2
trends assumption,0,0,0,0,0,2,2
triopoly games isoelastic,0,2,0,0,0,0,2
triopoly games isoelastic demand,0,2,0,0,0,0,2
tripbased mfd,0,2,0,0,0,0,2
triple gamma prior,0,0,0,2,0,0,2
trivial algorithm,0,0,2,0,0,0,2
true access,0,0,0,2,0,0,2
true joint,0,0,2,0,0,0,2
true joint distribution,0,0,2,0,0,0,2
theory causal,0,0,0,0,0,2,2
theoretical framework understanding,0,0,0,0,2,0,2
theoretical empirical,0,0,0,2,0,0,2
theorem equivalent,0,0,2,0,0,0,2
successful increases,0,0,0,0,2,0,2
successful increases voters,0,0,0,0,2,0,2
successful increases voters expected,0,0,0,0,2,0,2
successful increases voters expected utility,0,0,0,0,2,0,2
sufficient condition size,0,0,0,0,2,0,2
sufficient condition size controllability,0,0,0,0,2,0,2
suggesting eventual,2,0,0,0,0,0,2
sultanate oman,0,0,0,2,0,0,2
sunk cost,2,0,0,0,0,0,2
supercompliers subpopulation,0,0,2,0,0,0,2
supply chain connections,0,0,0,0,0,2,2
supply chain management variable,0,0,2,0,0,0,2
supply chains,0,0,2,0,0,0,2
supply incentive,0,0,2,0,0,0,2
support services,0,0,0,2,0,0,2
supposed isoelastic,0,2,0,0,0,0,2
supposed isoelastic demand,0,2,0,0,0,0,2
supreme court,0,0,0,2,0,0,2
surplus carbon,0,0,2,0,0,0,2
surplus sharing,0,0,0,0,0,2,2
surveillance authorities,2,0,0,0,0,0,2
survey conducted,0,0,2,0,0,0,2
survey conducted hungary,0,0,2,0,0,0,2
sustainability claims,0,0,0,2,0,0,2
sustainability contribution,0,0,0,0,0,2,2
sustainability contribution norms,0,0,0,0,0,2,2
sustainability study,0,0,0,0,2,0,2
sustainable development,0,0,0,0,0,2,2
sustainable university,0,0,2,0,0,0,2
suburban regions,0,0,0,0,2,0,2
substantially higher,0,0,0,0,0,2,2
subset weakly ordered topological space,0,0,2,0,0,0,2
study issues,2,0,0,0,0,0,2
students consider,0,0,2,0,0,0,2
students higher,0,0,2,0,0,0,2
students perceptions,0,0,2,0,0,0,2
study also,0,2,0,0,0,0,2
study competitive,0,0,0,0,2,0,2
study contributes,0,0,0,0,2,0,2
study documents,0,0,0,0,2,0,2
study effect,0,0,0,0,0,2,2
study extinction,0,2,0,0,0,0,2
study food,0,0,0,2,0,0,2
study food exporting,0,0,0,2,0,0,2
study food exporting companies,0,0,0,2,0,0,2
study investigate,0,0,2,0,0,0,2
study issues narrative,2,0,0,0,0,0,2
subset weakly ordered topological,0,0,2,0,0,0,2
study issues narrative economics,2,0,0,0,0,0,2
study policy,0,0,0,0,0,2,2
study problem,0,0,0,0,0,2,2
study proposes,0,0,0,0,2,0,2
stylized facts,0,2,0,0,0,0,2
subjective norm,0,2,0,0,0,0,2
subjective wellbeing indicator,2,0,0,0,0,0,2
submitting offer,0,0,2,0,0,0,2
submitting offer zero,0,0,2,0,0,0,2
subscriptionbased streaming,2,0,0,0,0,0,2
subscriptionbased streaming services,2,0,0,0,0,0,2
subset weakly,0,0,2,0,0,0,2
subset weakly ordered,0,0,2,0,0,0,2
sustainable university scale,0,0,2,0,0,0,2
sutva assumption,2,0,0,0,0,0,2
swiss businesses,0,0,0,0,2,0,2
term treatment effects,0,2,0,0,0,0,2
technologies industry,0,0,0,0,2,0,2
technology adoption,0,0,0,0,0,2,2
technology cpc,0,0,2,0,0,0,2
technology diffusion,0,0,0,0,0,2,2
technology portfolios,0,0,0,0,2,0,2
tehran city,0,2,0,0,0,0,2
temporal inconsistency,2,0,0,0,0,0,2
temporal multilayer,0,0,2,0,0,0,2
tend wealthy,0,2,0,0,0,0,2
tensor factor,0,0,2,0,0,0,2
tensor factor model,0,0,2,0,0,0,2
term structure,0,0,2,0,0,0,2
term treatment,0,2,0,0,0,0,2
terms average,0,0,2,0,0,0,2
team quality,0,2,0,0,0,0,2
territory mancha,0,0,2,0,0,0,2
test results,2,0,0,0,0,0,2
test semiparametric,0,0,2,0,0,0,2
test semiparametric models,0,0,2,0,0,0,2
testing frameworks,0,0,0,0,0,2,2
testing protocols,0,0,0,0,2,0,2
testing restrictions,0,2,0,0,0,0,2
testing single,0,0,0,0,2,0,2
testing single restriction,0,0,0,0,2,0,2
tests implied,0,0,2,0,0,0,2
tests implied confidence,0,0,2,0,0,0,2
tests implied confidence sequences,0,0,2,0,0,0,2
tfp growth,0,0,0,2,0,0,2
technologies energy efficiency,0,0,0,2,0,0,2
teachers stereotypical,0,0,2,0,0,0,2
swiss economy,0,0,0,0,2,0,2
systems community,0,0,0,2,0,0,2
synthetic control method,0,0,0,0,0,2,2
synthetic control methods,0,2,0,0,0,0,2
synthetic control treatment,2,0,0,0,0,0,2
