,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
restricted isometry property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,27,25,41,34,32,38,26,26,32,43,23,21,12,14,20,18,461
numerical examples provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,8,12,14,23,23,23,21,23,37,49,37,42,39,50,50,460
complete bipartite graph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,4,7,10,18,21,19,10,17,25,12,24,26,28,32,43,50,46,49,460
asymmetric simple exclusion,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,10,12,17,18,20,11,18,11,20,23,25,28,19,25,26,27,23,30,50,25,459
main result states,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,5,15,16,14,15,24,24,25,16,31,27,26,34,27,22,22,29,26,24,25,459
bounded derived category,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,7,13,6,10,15,25,28,25,16,12,38,23,24,18,27,23,21,34,43,32,459
optimal convergence rates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4,12,18,8,15,12,21,30,39,49,36,43,42,49,70,457
compact riemannian manifolds,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,13,9,9,14,20,16,17,15,21,20,32,19,32,33,24,20,21,28,44,32,457
virtual element method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,32,31,43,23,35,61,50,63,60,45,456
new upper bound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,11,18,9,17,25,19,33,20,24,21,17,32,35,35,42,22,38,23,456
robin boundary conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,8,8,11,19,33,28,18,25,26,29,37,48,34,27,39,46,455
multipleoutput mimo systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,12,19,28,35,25,30,40,30,47,48,41,49,37,455
plays key role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,6,7,6,6,19,14,16,19,16,20,21,27,35,42,38,45,36,33,33,454
differential equations odes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,7,12,8,16,17,15,14,15,19,37,45,42,56,72,59,454
graph maximum degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,9,17,15,24,23,26,20,15,14,36,25,33,35,34,33,36,44,453
nonlinear wave equations,0,0,0,0,0,0,0,0,0,3,0,0,7,5,11,12,7,8,12,7,8,12,15,28,14,16,26,21,27,22,23,19,20,40,27,32,31,453
global weak solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,15,21,10,22,29,29,28,30,21,37,24,28,40,43,48,452
give short proof,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,5,9,12,9,12,18,20,16,23,19,19,26,29,22,24,24,27,32,22,23,28,17,452
paper give new,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,11,7,6,11,9,15,20,15,25,29,21,28,28,27,20,35,21,33,30,17,28,451
necessary optimality conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,15,15,13,9,22,20,27,32,35,25,43,38,29,45,31,33,450
one main results,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,8,6,8,10,11,14,14,16,25,19,28,30,21,29,21,34,20,28,26,31,32,450
find necessary sufficient,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,6,17,8,9,14,18,16,19,20,26,21,22,25,21,30,32,25,36,24,22,26,450
locally compact abelian,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,14,0,12,12,18,8,15,13,13,16,13,27,35,21,42,27,21,17,42,37,30,449
affine lie algebra,0,0,0,0,6,3,13,8,10,6,11,0,8,16,8,9,15,12,10,14,14,11,18,16,13,27,21,19,16,21,15,18,18,14,25,22,12,449
monte carlo simulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,10,14,9,19,20,18,20,22,25,22,36,33,32,30,35,45,46,448
strong law large,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,8,8,12,19,8,19,17,12,19,18,25,32,21,33,34,28,22,19,41,38,448
maximum number edges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,13,22,16,22,21,20,25,32,33,22,39,49,49,62,448
cumulative distribution function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,0,8,17,23,15,25,18,24,26,23,30,44,33,33,36,34,35,446
semisimple lie algebra,0,0,0,0,0,0,0,5,5,6,13,6,5,7,10,15,14,15,14,23,13,17,19,18,19,21,19,20,27,14,25,17,13,16,9,25,16,446
semisimple lie groups,0,0,0,0,0,0,0,0,0,0,0,8,6,6,12,14,7,6,14,14,10,13,7,24,22,19,23,29,21,27,20,21,13,16,27,34,32,445
obtain upper bound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,7,5,13,13,15,13,25,11,23,26,28,31,35,33,32,24,42,29,20,445
identically distributed random,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,11,9,8,8,11,21,17,21,29,33,30,21,22,25,24,38,25,27,22,28,445
nonconvex optimization problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,30,16,24,43,36,46,43,43,47,44,53,445
wide range applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,7,9,11,19,19,14,19,32,33,24,33,43,54,55,50,445
discrete fourier transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,8,12,21,13,18,22,14,34,23,28,24,18,28,33,23,31,48,32,445
nonlinear wave equation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,10,8,16,20,20,20,11,15,24,21,32,36,37,19,27,36,31,29,18,444
large language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,153,227,443
functional central limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,5,14,10,8,15,6,14,11,21,26,23,22,18,38,35,26,18,34,43,41,443
give complete characterization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,10,3,12,15,12,17,13,19,20,26,26,28,27,25,31,34,39,35,31,442
minimum mean square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,9,8,10,10,21,25,28,28,14,27,35,44,26,28,37,40,39,442
quantum affine algebras,0,0,0,0,4,12,7,14,6,19,19,13,6,20,5,7,13,14,5,7,16,4,12,6,8,20,17,8,12,12,19,27,10,19,22,23,35,441
two space dimensions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,8,4,17,12,15,17,25,25,18,28,24,22,36,36,25,22,32,31,30,441
complete bipartite graphs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,11,13,15,18,20,11,21,15,37,22,28,33,32,35,60,49,441
compact metric spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,6,5,12,21,12,13,31,27,36,28,31,19,25,32,30,27,24,45,440
paper study existence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,11,7,15,12,10,19,30,30,24,30,33,31,39,30,33,35,32,439
linear inverse problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,4,14,16,20,20,23,27,41,33,36,25,28,58,43,35,439
priori error estimates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,13,29,16,21,33,39,27,38,30,34,53,44,44,439
new lower bounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,6,14,11,15,17,16,11,19,22,25,21,30,37,27,36,21,32,34,30,438
empirical risk minimization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,3,0,6,6,14,12,18,35,28,51,41,35,50,52,37,35,438
lie algebra mathfrakg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,4,8,3,9,15,18,22,23,35,26,38,31,30,46,33,45,37,438
bounded away zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,9,10,9,12,16,20,27,21,23,29,25,20,24,30,32,23,27,39,25,437
continued fraction expansion,0,0,0,0,0,0,0,0,3,0,3,6,4,0,3,16,9,5,13,10,15,17,8,15,13,23,28,26,19,18,30,25,29,30,16,20,32,436
nonlinear differential equations,0,0,0,0,0,0,0,0,0,0,6,5,0,5,7,0,5,6,4,16,13,15,17,21,14,11,31,32,17,22,26,27,18,29,35,19,35,436
play crucial role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,5,5,6,9,7,10,16,17,19,16,25,20,23,31,23,30,42,56,64,436
open quantum systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,7,7,9,18,16,23,28,6,19,15,22,16,37,33,38,57,60,433
numerical experiments conducted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,6,6,8,14,17,22,35,36,44,65,85,85,433
integer linear programming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,16,7,18,29,35,37,38,38,46,52,61,37,433
absolutely continuous respect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,13,9,14,15,11,17,21,12,29,28,26,27,18,32,24,34,26,15,29,432
right hand side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,6,7,12,13,16,19,25,31,21,31,24,38,27,35,16,37,23,23,14,431
driven fractional brownian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,11,9,15,22,21,29,20,11,26,23,21,23,31,20,28,38,33,23,430
siegel modular forms,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,8,0,6,10,14,11,18,27,25,35,23,29,24,10,36,18,11,18,22,18,24,27,429
linear convergence rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,10,21,27,38,25,30,37,44,41,35,51,51,428
obtain new results,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,8,16,8,12,12,13,17,22,23,27,21,27,29,24,37,25,24,24,28,18,428
fast fourier transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,6,15,13,13,21,22,20,27,22,35,29,36,35,43,40,40,428
affine hecke algebras,0,0,0,0,0,0,8,6,4,0,5,8,12,0,12,25,9,10,21,22,20,25,16,15,24,19,23,18,16,10,15,14,7,7,21,12,24,428
prove upper bound,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,3,0,10,9,8,9,11,21,17,28,14,26,32,26,26,24,41,39,30,39,428
space probability measures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,13,7,13,21,14,18,22,24,29,32,22,48,50,41,54,427
system differential equations,0,0,0,0,0,0,0,0,0,4,3,0,0,5,6,6,0,12,10,12,11,12,16,19,22,19,26,17,23,20,19,30,36,27,28,23,21,427
establish necessary sufficient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,7,6,5,8,7,10,12,20,13,19,19,21,23,20,20,22,45,53,83,425
bounded domain omega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,4,0,10,10,6,9,27,19,22,21,31,37,24,36,23,34,39,33,27,425
fixed point theorems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,9,15,34,12,21,19,21,30,38,37,18,18,32,34,19,22,33,424
internet things iot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,27,42,37,74,67,45,34,40,37,424
augmented lagrangian method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,5,8,15,11,24,23,30,46,60,34,51,39,65,424
connected lie group,0,0,0,0,0,0,4,0,0,3,3,4,6,5,7,11,11,18,17,15,17,13,17,17,13,20,25,16,16,22,28,32,18,14,15,14,21,422
unmanned aerial vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,24,30,45,44,45,39,32,47,51,55,422
finite difference scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,11,26,21,26,23,29,26,29,32,37,37,33,48,29,422
random dynamical systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,6,7,16,7,8,27,19,16,20,6,19,23,29,27,24,40,31,29,49,422
error rate ber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,11,6,15,22,20,28,26,21,27,25,29,37,36,34,35,42,421
respect lebesgue measure,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,11,14,12,9,11,14,13,25,28,16,25,25,19,29,25,26,13,23,18,18,32,420
law iterated logarithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,11,10,9,7,14,19,16,31,17,31,20,8,21,22,26,30,32,34,33,420
solutions yangbaxter equation,0,0,0,0,0,4,3,0,3,5,3,0,3,4,4,4,7,7,7,8,8,9,4,5,9,12,20,10,15,15,31,33,28,38,41,46,34,420
combinatorial optimization problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,10,11,9,15,10,12,16,18,20,37,32,51,54,71,42,420
numerical examples illustrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,6,7,22,22,21,23,34,27,24,34,29,37,35,44,31,419
validate theoretical results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,7,15,9,14,14,26,35,27,35,47,58,116,419
first chern class,0,0,0,0,4,0,0,3,3,4,3,7,8,0,9,12,9,13,22,14,13,6,14,13,19,22,19,27,17,18,20,23,16,19,19,19,24,419
performance proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,14,16,21,14,21,27,31,35,37,44,48,54,47,419
groups lie type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,5,12,9,13,28,14,17,14,20,23,32,25,17,33,27,25,19,29,44,419
wireless sensor networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,18,19,22,22,43,35,56,37,26,20,28,17,17,5,4,8,19,418
private information retrieval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,51,69,56,40,39,35,30,27,41,417
hilbert scheme points,0,0,0,0,0,0,0,0,0,0,3,7,0,11,7,13,15,5,5,9,18,7,13,18,20,20,18,14,22,18,33,13,32,25,27,26,18,417
show proposed algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,0,8,8,17,21,25,38,29,31,40,46,30,36,32,34,416
local langlands correspondence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,16,16,26,30,19,36,25,18,36,14,16,21,32,38,29,34,416
results numerical experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,6,14,17,12,17,30,30,37,27,36,37,50,39,48,416
imaginary quadratic fields,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,8,13,6,0,19,19,21,23,33,14,21,22,24,18,25,33,30,23,24,32,415
existence uniqueness results,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,7,8,8,14,10,14,16,14,23,31,27,28,28,25,23,28,16,18,32,31,415
scalar conservation laws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,14,15,14,19,28,25,25,36,34,27,24,28,25,24,28,25,415
initial value problems,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,7,9,9,19,20,26,12,17,18,29,22,29,32,29,38,55,32,414
category coherent sheaves,0,0,0,0,0,0,0,0,4,7,0,6,7,7,9,8,22,11,8,16,17,12,24,14,16,11,18,16,20,13,16,20,29,9,22,19,33,414
convolutional neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,35,42,45,56,60,49,54,55,413
give explicit formulas,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,8,7,10,15,14,9,11,15,11,13,15,19,32,30,22,24,27,20,14,25,26,26,413
experimental results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,6,13,12,8,11,15,16,13,40,35,47,54,41,50,36,412
finite field mathbbfq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,13,15,33,26,28,33,40,35,42,44,40,46,412
bounded linear operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,5,10,14,7,21,12,11,17,25,19,28,41,36,32,41,26,25,21,412
minimal model program,0,0,0,0,0,0,0,0,6,7,3,0,5,6,5,5,3,6,16,14,16,13,14,23,12,23,16,13,25,22,20,20,15,30,27,21,25,411
new lower bound,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,10,8,7,5,11,22,21,6,23,18,14,28,24,31,15,32,29,27,31,37,411
block coordinate descent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,25,19,13,31,31,27,39,27,37,36,50,55,409
achievable rate region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,23,27,36,58,44,26,27,22,19,26,15,7,10,7,8,16,8,6,409
plays central role,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,6,6,7,8,11,11,14,14,20,14,17,20,15,25,30,18,24,30,32,70,408
consistency asymptotic normality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,11,11,0,14,7,15,14,11,20,26,25,23,19,25,30,27,37,34,43,408
optimal convergence rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,11,6,15,8,13,17,32,28,25,45,50,41,51,51,408
study asymptotic behaviour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,11,8,14,10,12,9,15,20,22,21,30,31,21,29,31,25,24,23,25,14,407
highest weight modules,0,0,0,0,0,3,4,4,7,14,6,4,5,3,6,3,5,9,16,15,9,10,15,16,30,15,22,11,20,17,10,23,27,18,18,19,21,405
singular integral operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,10,12,10,20,19,19,17,21,23,15,27,26,13,37,20,23,19,31,29,405
division multiplexing ofdm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,6,9,13,24,19,34,24,30,30,25,23,29,37,32,34,27,405
locally compact quantum,0,0,0,0,0,0,0,0,0,0,5,15,12,20,3,11,7,8,16,21,13,16,22,21,16,20,20,25,31,12,18,11,8,10,24,6,13,404
complex reflection groups,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,4,6,7,21,18,25,7,10,14,16,10,23,20,19,31,14,28,27,13,18,29,23,404
complete riemannian manifold,0,0,0,0,0,0,0,0,0,4,0,5,0,5,3,7,3,6,12,9,9,17,15,12,17,12,21,16,24,29,25,26,19,14,30,28,35,403
imaginary quadratic field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,7,6,8,16,10,11,15,14,11,19,27,18,29,36,32,45,40,39,403
gradient descent algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,12,14,18,28,37,42,48,51,42,53,51,403
consider cauchy problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,9,10,15,10,12,17,18,18,26,36,32,27,40,27,33,28,34,402
free boundary problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,7,0,0,17,6,20,31,15,30,31,31,35,32,23,14,42,55,402
upper bounds number,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,5,3,6,10,9,10,12,13,11,16,29,22,18,33,22,24,33,32,23,35,22,401
affine weyl group,0,0,0,0,0,0,0,4,0,0,3,5,7,8,13,11,6,10,36,31,14,24,15,18,8,8,9,11,14,15,14,14,28,21,19,17,18,401
defined number field,0,0,0,0,0,0,0,3,0,4,5,0,0,4,12,10,5,5,10,12,13,9,13,16,13,17,18,18,23,16,27,27,21,24,23,23,30,401
system ordinary differential,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,7,6,9,13,18,11,17,15,36,23,20,20,33,28,29,31,43,31,401
finite volume scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,16,0,7,11,15,12,28,14,21,21,25,18,26,37,27,33,41,34,400
finite volume method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,5,14,8,12,20,24,24,25,37,24,29,34,33,55,44,400
second main result,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,6,0,5,9,6,3,14,17,7,16,24,17,10,23,31,26,26,34,35,42,39,400
solution cauchy problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,12,11,11,10,20,20,15,23,23,19,21,17,21,20,29,33,33,25,23,400
fully nonlinear elliptic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,8,9,7,22,14,25,16,12,18,25,33,32,36,39,17,42,27,400
posteriori error estimates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,14,27,23,27,14,30,37,35,26,30,31,46,37,399
compact hausdorff space,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,9,6,7,15,12,13,26,12,27,30,29,24,21,19,23,28,24,29,26,399
weighted composition operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,11,0,7,16,11,5,18,22,28,45,36,11,36,40,24,30,50,399
constrained optimization problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,12,11,29,28,27,37,43,50,43,51,47,398
optimal power allocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,7,17,14,27,31,38,29,29,53,37,17,17,23,10,12,10,8,398
rightangled artin groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,14,10,11,15,13,10,10,17,9,22,31,26,18,35,24,29,28,28,27,397
graph neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,40,73,90,106,52,396
lowdensity paritycheck ldpc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,11,9,13,20,21,26,18,21,16,16,21,17,29,15,21,13,22,27,36,396
finite element spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,14,18,27,25,28,24,31,28,31,42,33,31,45,396
play key role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,4,9,5,12,17,20,22,12,21,20,28,22,22,33,30,31,35,40,395
positive definite matrices,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,6,8,7,10,12,12,13,16,17,20,22,34,36,30,30,25,29,27,29,394
conjugate gradient method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,16,18,11,21,21,35,18,27,30,32,55,47,47,394
along way prove,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,5,4,6,17,8,10,11,14,25,22,18,27,22,33,32,27,28,48,25,393
new upper bounds,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,12,7,9,6,13,12,21,19,12,19,32,31,17,21,25,23,28,24,30,23,392
information power transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,40,43,42,35,38,27,25,33,19,21,13,17,391
cubic nonlinear schrodinger,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,11,7,11,12,14,5,10,30,16,22,18,32,25,21,28,29,31,26,32,391
generalized riemann hypothesis,0,0,0,0,0,0,0,0,0,0,7,5,0,4,5,11,5,3,5,5,8,4,19,15,14,11,18,16,20,21,10,20,30,36,33,33,33,391
gradient descent method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,13,21,23,26,28,55,42,42,64,58,390
purpose paper study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,10,4,7,8,6,12,19,8,15,22,30,26,33,26,40,24,28,25,14,15,389
interacting particle system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,10,4,4,8,5,9,6,7,13,16,14,20,28,30,19,34,46,73,34,389
almost complex structure,0,0,0,0,0,0,0,0,0,0,11,5,8,0,6,14,11,26,12,18,22,16,16,23,22,10,15,21,12,22,16,20,9,12,19,11,11,388
first betti number,0,0,0,0,0,0,0,0,0,0,4,3,4,3,6,4,13,13,8,9,10,18,14,12,20,20,19,21,13,26,23,14,21,22,18,20,30,388
gaussian random fields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,13,17,21,21,30,25,19,19,20,29,37,34,26,23,30,388
two distinct vertices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,14,13,12,9,19,22,22,24,26,37,20,37,21,37,54,387
external magnetic field,0,0,0,0,0,0,0,0,0,0,4,0,4,4,8,4,0,5,5,10,3,20,19,16,10,25,18,11,26,20,22,23,32,20,21,26,31,387
iterated function system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,4,6,9,10,13,12,15,23,25,20,20,33,24,26,35,30,30,38,386
lower bounds number,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,0,0,9,5,9,10,14,8,18,22,21,4,17,27,20,24,28,21,23,32,24,33,386
probability density functions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,5,8,8,12,6,18,25,21,22,22,25,43,28,31,28,33,31,386
prove several results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,10,11,10,12,9,22,17,17,17,19,21,22,18,20,30,27,27,36,22,385
main contribution paper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,10,16,12,14,9,20,24,19,25,34,25,35,23,29,28,29,20,384
prove lower bound,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,9,7,7,10,11,19,9,19,25,17,25,24,16,34,25,21,36,35,23,384
numbers second kind,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,5,6,11,6,4,7,13,22,32,10,16,16,39,19,17,25,52,28,14,30,384
relatively hyperbolic groups,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,18,20,13,8,0,14,11,24,19,13,17,16,17,12,15,23,19,30,26,19,25,384
global existence uniqueness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,9,15,11,14,20,15,18,19,16,22,25,20,24,31,31,22,22,34,383
fourier integral operators,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,11,21,7,17,18,18,17,21,23,13,15,30,16,25,22,13,29,34,17,383
