,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
model allows,0,0,0,0,0,0,0,0,0,0,0,6,5,4,6,4,8,6,10,8,13,19,12,15,19,18,7,16,27,17,14,11,18,15,278
analytical results,0,0,0,0,0,0,0,0,0,3,7,0,6,0,6,5,9,8,7,18,12,16,21,13,11,24,11,14,16,14,14,13,8,22,278
structure function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,9,9,10,20,8,21,12,13,13,17,12,37,22,30,29,278
remains challenging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,7,6,10,9,7,10,15,19,32,52,96,277
recently developed,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,5,3,4,7,8,16,14,12,18,14,15,13,22,24,12,19,18,26,15,277
models using,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,6,10,6,13,10,19,14,22,21,21,25,48,45,276
stem cell,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,6,7,27,22,28,33,10,19,22,22,8,9,22,18,8,276
models llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,99,139,276
stochastic simulations,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,11,4,10,9,18,13,19,16,12,20,14,20,13,12,22,16,12,16,276
spatial patterns,0,0,0,0,0,0,0,0,0,0,0,4,3,0,14,3,10,0,3,5,19,9,19,13,8,10,12,17,11,17,15,27,27,29,275
disease transmission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,12,5,0,11,10,49,45,30,18,35,42,275
mathematical framework,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,6,9,0,4,6,9,16,13,13,20,14,25,29,10,20,26,44,275
closely related,0,0,0,0,0,0,0,3,0,3,0,0,0,7,3,8,7,8,8,9,11,25,10,23,13,12,13,14,24,17,9,15,20,13,275
model provides,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,8,9,4,9,5,10,22,19,13,19,16,17,16,16,15,29,34,274
molecular property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,72,60,70,38,274
available data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,6,8,9,13,7,12,16,12,66,23,24,22,23,17,273
parkinsons disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,11,6,0,11,13,16,26,17,29,22,31,43,32,273
sample size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,4,11,19,14,24,11,18,20,21,18,15,13,27,24,19,271
excitatory inhibitory,0,0,0,0,0,0,0,4,0,0,0,0,3,4,4,0,0,0,6,5,15,11,9,11,17,23,31,21,25,15,18,12,21,16,271
cell lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,13,14,13,14,14,17,27,18,16,11,24,27,31,14,271
dimensionality reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,23,11,25,12,8,26,24,21,26,29,49,271
results highlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,10,5,9,9,8,16,16,11,19,17,34,99,271
ion channels,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,4,5,13,13,8,24,22,16,16,17,11,18,7,14,4,7,16,15,14,270
taken account,0,0,0,0,0,0,0,0,4,4,4,11,10,5,4,4,7,8,12,8,14,17,10,6,22,11,10,18,30,12,14,9,10,6,270
takes account,0,0,0,0,0,0,0,0,0,3,4,0,3,5,7,5,7,8,9,11,14,13,11,18,16,13,23,13,33,19,6,12,10,7,270
ground truth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,8,19,23,36,24,24,41,38,43,268
methods used,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,4,7,4,5,13,10,11,18,7,17,12,19,19,27,31,28,21,268
clinical trials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,13,14,68,28,22,40,37,32,268
one two,0,0,0,0,0,0,0,0,0,0,4,5,4,0,8,6,3,9,5,7,10,20,17,16,17,13,16,18,19,8,18,16,16,13,268
network architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,13,15,13,17,21,25,23,22,26,19,30,26,268
parameters model,0,0,0,0,0,0,0,0,0,0,4,5,4,3,5,3,3,13,9,8,11,17,6,12,21,13,6,10,35,28,10,22,9,11,268
language processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,10,24,21,30,37,69,57,267
resting state,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,22,15,19,21,23,20,15,18,23,17,28,15,267
data available,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,8,9,8,14,8,7,15,3,15,23,37,20,16,21,32,22,266
disease progression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,13,14,12,19,42,10,13,24,31,77,265
cell type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,12,4,6,12,11,4,10,6,24,11,31,25,41,59,265
state art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,10,10,17,16,23,15,32,32,23,27,22,25,265
analysis reveals,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,6,6,7,14,11,10,13,12,15,12,19,7,11,9,33,69,265
base pairs,0,0,0,0,0,0,0,4,4,0,9,9,0,7,0,5,7,8,9,16,9,30,9,16,15,12,23,11,5,7,6,13,17,13,264
living systems,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,5,13,0,11,9,8,10,8,17,12,17,21,23,26,15,26,33,264
theoretical results,0,0,0,0,0,0,0,3,5,0,0,4,4,3,3,5,7,0,6,5,6,9,18,18,9,13,15,11,26,14,16,19,21,24,264
data show,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,5,6,5,16,15,16,16,16,15,22,27,26,15,19,9,19,262
work present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,8,7,3,7,12,12,20,30,29,23,28,35,37,262
fixed points,0,0,0,0,0,0,4,11,0,0,0,0,5,6,9,6,0,5,8,0,7,10,11,10,12,8,14,24,21,23,10,19,17,21,261
empirical data,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,9,12,3,11,12,14,13,17,12,10,10,16,30,14,16,17,14,16,261
computer vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,6,13,15,17,16,28,34,40,45,35,261
recent experimental,0,0,0,0,0,0,0,0,0,3,6,6,5,5,5,8,6,12,14,14,19,17,18,18,18,11,11,10,8,11,7,11,6,11,260
also discuss,0,0,0,0,0,0,0,3,0,0,0,3,7,7,5,8,9,6,8,7,16,7,16,12,10,7,16,10,17,16,22,14,18,16,260
disease spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,8,4,4,0,16,15,3,9,14,64,26,17,20,20,27,259
environmental conditions,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,3,7,8,5,4,13,15,15,14,8,11,15,25,15,10,20,24,33,259
well understood,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,4,12,7,24,11,12,26,15,24,13,24,18,11,11,17,16,258
mass spectrometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,6,9,13,14,13,9,11,14,9,14,32,15,11,22,26,28,258
degree distribution,0,0,0,0,0,0,0,0,0,0,4,15,7,18,8,17,14,10,18,15,13,16,5,13,12,15,3,7,9,10,7,8,13,0,257
support vector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,7,8,5,13,19,14,27,26,22,18,19,30,34,257
complex network,0,0,0,0,0,0,0,0,0,0,0,10,4,15,0,5,0,3,9,0,14,14,14,18,17,18,20,13,16,16,13,6,16,15,256
visual system,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,4,3,0,5,0,5,0,17,6,13,12,21,20,32,17,20,21,20,28,256
stateoftheart performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,9,10,9,22,44,68,78,255
many biological,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,9,3,8,13,13,14,12,10,13,15,14,16,16,16,12,21,15,23,255
single molecule,0,0,0,0,0,0,0,0,0,0,3,7,12,14,9,15,6,10,12,9,19,16,22,28,32,16,8,3,5,3,0,5,0,0,254
dynamics model,0,0,0,0,0,0,0,0,0,0,0,5,5,7,6,5,0,8,11,9,8,14,10,7,16,10,8,12,29,8,14,12,25,25,254
proteinprotein interactions,0,0,0,0,0,0,0,0,0,0,0,6,7,7,9,7,5,0,8,8,9,8,8,5,12,16,13,18,14,17,11,16,22,28,254
cell population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,11,11,9,22,8,17,16,11,17,15,20,13,9,27,22,11,253
computational biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,4,13,10,8,14,7,12,9,13,15,13,6,20,20,27,44,252
united states,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,7,4,9,14,10,101,32,17,18,10,15,252
long time,0,0,0,0,0,0,4,3,0,0,3,9,3,0,4,8,6,10,7,12,14,7,10,11,15,14,26,11,16,17,13,11,11,7,252
principal component,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,3,5,7,9,18,13,8,21,11,14,20,23,18,25,21,22,252
across diverse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,3,5,4,3,6,20,56,141,250
stochastic process,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,9,6,10,11,11,9,13,23,22,8,16,10,12,10,22,13,11,19,250
persistent homology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,9,20,23,22,13,14,19,27,25,32,250
fixed point,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,5,8,7,11,16,14,9,12,16,6,6,10,20,11,17,19,14,13,24,249
boundary conditions,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,3,10,13,12,11,7,12,9,17,8,19,16,17,20,15,13,16,19,249
cellular processes,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,6,3,7,11,8,9,11,10,9,15,8,12,20,11,13,25,20,31,249
rna sequencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,5,9,4,7,24,23,21,30,45,64,248
may also,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,3,5,5,6,16,9,20,13,11,8,15,9,20,21,9,15,19,16,17,247
complex biological,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,11,10,9,3,10,7,5,5,17,10,8,14,8,12,46,55,247
building blocks,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,6,0,0,3,9,5,13,8,8,9,4,9,11,21,17,21,25,33,28,247
signal processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,7,14,12,16,13,14,11,14,10,20,27,18,25,22,246
results also,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,6,0,6,8,15,10,18,9,10,16,13,18,24,16,15,13,16,17,246
critical point,0,0,0,0,0,0,4,0,0,3,7,4,0,0,3,0,4,6,11,3,12,14,14,11,14,12,9,33,22,10,12,13,9,16,246
may lead,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,0,3,8,16,11,10,9,14,11,14,17,19,28,13,25,12,20,245
spread covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,48,15,10,0,0,245
brain dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,8,0,10,6,13,10,19,13,19,12,15,29,31,49,244
signal transduction,0,0,0,0,0,0,0,0,0,0,0,9,4,3,14,10,8,11,13,17,11,13,16,21,17,14,13,9,7,7,5,6,9,7,244
control strategies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,9,15,8,10,10,5,12,43,33,16,19,22,30,243
experimentally observed,0,0,0,0,0,0,0,0,3,0,0,3,4,0,5,9,7,10,11,7,14,22,9,14,26,8,12,8,21,4,5,7,13,21,243
model system,0,0,0,0,0,0,0,4,3,3,0,5,0,10,0,3,6,9,6,8,9,15,14,15,11,9,11,16,9,12,16,23,8,18,243
spatial structure,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,4,4,13,9,20,20,3,12,13,12,16,5,8,19,14,33,26,242
clinical data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,8,12,13,26,25,19,30,39,56,241
recent experiments,0,0,0,0,0,0,0,0,0,6,4,10,8,6,5,10,7,11,8,8,19,13,9,17,8,15,11,12,11,9,8,9,12,5,241
existing approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,15,6,6,10,15,17,17,29,33,69,241
model protein,0,0,0,0,4,5,7,6,0,7,7,14,6,6,9,9,4,4,7,9,11,11,9,13,10,5,6,4,8,9,11,8,18,13,240
present work,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,0,8,5,13,14,14,19,21,18,25,21,17,24,9,6,12,240
stability analysis,0,0,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,3,6,6,9,11,12,14,8,8,14,25,23,18,16,24,8,21,240
address challenges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,10,12,34,67,96,239
may provide,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,4,6,3,6,4,10,10,6,10,14,10,20,19,18,15,24,15,15,16,239
spatial distribution,0,0,0,0,0,0,0,0,0,0,4,7,6,6,0,5,4,4,8,11,5,7,5,7,11,6,10,24,21,11,13,17,26,21,239
two models,0,0,0,0,0,0,0,3,0,0,0,4,5,7,5,8,4,5,4,12,11,15,18,11,14,8,6,11,21,13,14,10,19,11,239
conformational changes,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,3,20,17,17,16,17,14,8,11,15,12,7,9,8,16,14,18,239
statistically significant,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,6,5,0,5,13,8,8,14,10,8,19,19,12,28,18,19,33,239
theoretical model,0,0,0,0,0,0,0,0,0,0,0,11,9,5,5,7,9,6,6,8,8,9,12,19,8,20,18,14,13,11,15,7,9,9,238
small molecules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,4,5,5,5,12,6,11,25,14,23,32,44,37,238
paper study,0,0,0,0,0,0,0,3,0,0,0,8,6,4,3,8,0,6,6,12,11,18,9,17,9,16,9,10,18,16,15,16,10,7,237
broad range,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,5,5,8,7,9,12,7,9,16,16,14,15,14,21,16,17,14,23,237
interaction network,0,0,0,0,0,0,0,0,0,0,0,10,7,9,7,6,5,7,7,4,14,10,18,14,16,12,8,13,11,13,11,16,9,10,237
association studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,36,22,11,12,11,10,17,11,14,14,15,17,15,236
two species,0,0,0,0,0,0,0,0,0,0,0,4,8,6,4,4,4,0,9,9,11,19,4,17,13,10,8,17,18,12,15,17,14,13,236
paper proposes,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,3,4,3,3,6,0,9,14,13,13,32,19,21,27,23,31,235
take account,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,12,5,7,3,3,9,11,11,15,14,13,17,9,28,16,9,11,20,11,235
cell membrane,0,0,0,0,0,0,0,0,0,5,5,0,0,7,8,16,8,5,11,7,7,14,6,14,4,10,13,10,14,11,12,21,10,17,235
continuous time,0,0,0,0,0,0,0,0,6,0,0,0,6,3,5,4,8,0,13,18,10,9,14,20,16,9,14,6,22,4,13,7,17,11,235
climate change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,9,10,6,9,24,22,15,18,30,30,42,234
heart rate,0,0,0,0,0,0,0,4,0,7,0,8,11,5,10,0,0,0,0,0,0,7,10,8,9,8,11,28,18,15,9,18,13,35,234
model two,0,0,0,0,0,0,0,3,0,0,0,5,7,5,4,4,3,5,9,12,11,13,8,7,9,12,13,11,11,15,14,19,18,15,233
electroencephalography eeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,18,20,23,14,18,23,36,58,232
genetic diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,12,5,6,26,41,23,10,19,0,8,9,11,7,7,8,23,9,232
open source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,6,14,5,23,20,13,28,17,19,16,20,21,16,232
image analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,10,22,9,19,22,19,29,36,26,27,231
synthetic biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,13,16,11,6,8,11,19,13,17,14,10,31,41,231
address issue,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,6,3,3,6,7,3,14,9,7,16,10,18,43,42,29,231
virtual screening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,7,0,11,30,24,27,31,46,43,230
minimal model,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,8,9,11,7,9,7,12,10,15,11,12,18,13,15,17,10,17,21,230
gene trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,12,11,27,15,28,15,24,10,12,9,14,7,16,7,7,230
provide new,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,5,8,11,11,12,9,9,16,16,22,10,15,20,26,27,230
human connectome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,23,20,25,22,17,12,22,15,22,26,230
model describes,0,0,0,0,0,0,0,0,0,0,3,6,4,4,7,5,7,6,6,10,10,10,19,10,13,11,8,12,19,10,7,9,21,13,230
structural information,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,6,5,0,5,3,5,7,7,10,16,11,16,26,21,44,38,230
population density,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,17,12,5,10,11,20,0,7,49,22,8,19,15,19,230
nonlinear dynamics,0,0,0,0,0,0,0,6,0,4,4,3,5,0,5,0,0,4,6,4,8,15,5,6,9,6,27,12,10,12,16,12,23,27,229
contact tracing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,29,30,19,13,0,229
copy number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,31,11,9,19,20,19,14,6,14,0,11,8,7,6,10,13,228
local global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,11,0,5,6,5,11,15,8,16,16,20,20,14,19,25,23,227
hidden markov,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,11,15,9,7,12,16,14,18,18,12,7,15,10,8,12,16,8,227
branching process,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,16,12,20,14,9,15,10,7,14,15,22,22,11,12,10,227
step towards,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,6,9,8,8,8,8,15,13,21,25,18,14,21,23,18,227
downstream tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,29,41,71,66,227
information flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,5,6,7,26,12,14,13,21,11,19,13,13,22,22,226
number infected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,4,4,3,7,6,6,114,22,20,8,9,10,226
theoretical analysis,0,0,0,0,0,0,0,0,0,3,0,0,5,3,3,5,0,3,5,7,10,10,12,8,16,11,10,8,15,15,18,12,23,24,226
general framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,3,6,7,8,14,11,12,13,10,12,13,13,17,14,15,14,27,226
stochastic differential,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,9,9,8,14,5,6,11,7,9,8,13,10,20,8,10,18,19,28,226
lung cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,12,14,9,10,7,36,51,32,46,226
tumor cells,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,4,6,7,10,10,16,8,7,9,16,19,20,18,7,25,18,14,225
finally discuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,11,5,3,3,9,14,12,14,12,7,15,18,11,18,18,20,24,225
model performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,16,9,25,32,68,57,225
little known,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,5,8,9,15,21,10,10,23,27,25,11,11,8,15,7,225
data obtained,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,8,0,3,5,6,19,8,9,13,11,13,18,18,14,13,21,18,18,225
expression levels,0,0,0,0,0,0,0,0,0,6,4,0,4,7,0,0,5,8,7,7,18,23,6,16,19,11,4,15,13,6,3,14,17,12,225
action potentials,0,0,0,0,0,0,0,0,4,0,4,0,5,7,8,0,0,4,5,3,15,8,13,8,11,15,14,18,17,16,9,9,18,14,225
optimization problem,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,5,5,6,5,15,13,20,16,13,24,14,14,17,23,21,224
molecular docking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,4,34,15,24,40,61,35,224
model trained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,19,25,20,30,33,30,56,224
individual cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,6,4,15,6,16,12,10,19,17,13,17,17,13,18,25,223
molecular structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,3,3,0,8,4,26,11,21,42,60,31,223
methods based,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,0,0,0,6,9,10,11,8,15,11,9,14,21,10,15,22,26,20,223
epidemic spreading,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,8,6,7,0,15,13,3,19,9,15,8,52,24,11,6,7,7,223
public goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,17,9,8,16,16,19,12,6,23,14,10,6,27,4,222
human genome,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,4,5,5,8,15,6,27,11,5,13,14,4,11,14,5,3,16,12,16,222
rna secondary,0,0,0,0,0,0,0,7,0,9,4,12,0,0,6,9,15,9,6,5,6,13,11,15,20,12,10,9,8,5,0,9,11,10,221
work provides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,9,3,7,9,7,10,14,13,16,23,28,65,221
predictive models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,3,6,12,17,32,16,16,21,33,46,220
across various,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,9,43,86,65,220
drug development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,4,10,17,20,30,35,57,38,220
blood flow,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,5,0,0,9,7,5,0,6,11,16,24,15,23,3,14,24,24,23,220
population structure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,9,4,28,24,19,15,20,6,9,14,8,15,5,7,13,8,220
receptive fields,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,6,16,20,9,10,8,12,10,14,11,31,22,34,219
computationally efficient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,6,5,6,10,13,15,15,9,8,7,19,9,13,25,42,219
analysis shows,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,6,5,6,7,10,15,15,14,8,12,5,26,8,19,13,18,18,219
finite element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,8,9,7,10,12,16,22,21,10,15,19,12,19,23,219
biological functions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,4,6,16,12,5,14,14,10,15,13,6,10,11,14,21,30,218
long term,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,7,0,5,3,12,9,15,16,9,16,12,7,9,21,20,17,9,12,7,218
active inference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,13,43,31,21,45,218
methods developed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,8,9,13,6,10,13,16,11,17,14,24,18,23,19,217
large population,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,7,4,4,10,5,11,10,9,17,13,16,8,18,9,23,8,14,13,217
test set,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,6,10,9,22,14,30,25,24,30,35,217
positive negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,0,6,8,13,8,16,9,9,19,24,9,11,21,20,22,217
deep generative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,23,19,39,27,52,42,216
may help,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,8,4,5,7,6,10,14,10,9,6,11,9,26,19,15,13,12,19,216
using simple,0,0,0,0,0,0,4,0,0,0,4,7,6,5,5,7,0,9,7,9,8,7,10,9,10,5,16,14,15,6,15,12,16,10,216
omics data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,9,11,13,12,28,20,27,51,30,216
show proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6,4,6,11,10,14,15,24,31,37,16,18,12,215
protein complexes,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,7,7,7,4,7,9,8,12,11,8,9,20,14,9,26,19,13,12,215
results reveal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,6,7,8,8,6,12,10,11,18,10,12,14,26,52,215
activity patterns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,7,10,9,8,8,17,14,15,9,11,15,13,18,15,33,215
neural data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,8,12,14,10,11,9,29,22,40,48,215
imaging fmri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,9,12,11,28,15,15,23,29,34,25,215
